Voltage,Capacitance
-80,2.300751e-10
-79.99984,2.300751e-10
-79.9996,2.300751e-10
-79.99924,2.300751e-10
-79.9987,2.3007509e-10
-79.99789,2.3007511e-10
-79.996675,2.3007511e-10
-79.994852,2.300751e-10
-79.992119,2.3007512e-10
-79.988018,2.3007513e-10
-79.981867,2.3007516e-10
-79.972641,2.3007522e-10
-79.958801,2.3007527e-10
-79.938042,2.3007538e-10
-79.906903,2.3007552e-10
-79.860194,2.3007572e-10
-79.790131,2.3007604e-10
-79.685036,2.3007653e-10
-79.527395,2.3007726e-10
-79.290932,2.3007835e-10
-78.936238,2.3008001e-10
-78.404197,2.3008248e-10
-77.606135,2.3008621e-10
-76.409043,2.3009186e-10
-74.809043,2.3009949e-10
-73.209043,2.3010726e-10
-71.609043,2.3011513e-10
-70.009043,2.3012312e-10
-68.409043,2.3013122e-10
-66.809043,2.3013946e-10
-65.209043,2.3014782e-10
-64,2.3015422e-10
-62.4,2.301628e-10
-60.8,2.3017154e-10
-59.2,2.3018044e-10
-57.6,2.3018945e-10
-56,2.3019866e-10
-54.4,2.30208e-10
-52.8,2.3021751e-10
-51.2,2.3022719e-10
-49.6,2.3023705e-10
-48,2.302471e-10
-46.4,2.3025733e-10
-44.8,2.3026776e-10
-43.2,2.302784e-10
-41.6,2.3028925e-10
-40,2.3030032e-10
-38.4,2.3031162e-10
-36.8,2.3032316e-10
-35.2,2.3033496e-10
-33.6,2.3034701e-10
-32,2.3035934e-10
-30.4,2.3037195e-10
-28.8,2.3038486e-10
-27.2,2.3039809e-10
-25.6,2.3041162e-10
-24,2.3042552e-10
-22.4,2.3043978e-10
-20.8,2.3045442e-10
-19.2,2.3046946e-10
-17.6,2.3048493e-10
-16,2.3050085e-10
-14.4,2.3051723e-10
-12.8,2.3053415e-10
-11.2,2.3055155e-10
-9.6,2.3056954e-10
-8,2.3058813e-10
-6.4,2.3060737e-10
-4.8,2.306273e-10
-3.2,2.3064797e-10
-1.6,2.3066943e-10
0,2.3069173e-10
1.6,2.3071497e-10
3.2,2.3073923e-10
4.8,2.3076456e-10
6.4,2.3079109e-10
8,2.3081891e-10
9.6,2.3084815e-10
11.2,2.3087897e-10
12.8,2.3091153e-10
14.4,2.3094602e-10
16,2.3098267e-10
17.6,2.3102173e-10
19.2,2.3106351e-10
20.8,2.3110831e-10
22.4,2.311565e-10
24,2.3120839e-10
25.6,2.3126413e-10
27.2,2.3132332e-10
28.8,2.3138366e-10
30.4,2.3143637e-10
32,2.314434e-10
33.6,2.3113783e-10
35.2,2.1704099e-10
35.6,1.8883303e-10
36.133333,2.2560928e-10
36.826667,2.9980259e-10
37.751111,6.2843265e-10
39.014519,8.2265554e-10
40.614519,8.5938723e-10
42.214519,8.6695849e-10
43.814519,8.6982251e-10
45.414519,8.7175019e-10
47.014519,8.7256598e-10
48,8.7281126e-10
49.6,8.7330997e-10
51.2,8.7366819e-10
52.8,8.7389495e-10
54.4,8.7407314e-10
56,8.7421719e-10
57.6,8.7436008e-10
59.2,8.7447565e-10
60.8,8.7456948e-10
62.4,8.745995e-10
64,8.7469138e-10
65.6,8.7476826e-10
67.2,8.7481753e-10
68.8,8.7483687e-10
70.4,8.7491334e-10
72,8.7493333e-10
73.6,8.7496647e-10
75.2,8.7501369e-10
76.8,8.7501658e-10
78.4,8.7502241e-10
80,8.7509452e-10

