Voltage,Capacitance
-80,2.2996448e-10
-79.99984,2.2996448e-10
-79.9996,2.2996448e-10
-79.99924,2.2996448e-10
-79.9987,2.2996447e-10
-79.99789,2.2996449e-10
-79.996675,2.2996449e-10
-79.994852,2.2996448e-10
-79.992119,2.2996449e-10
-79.988018,2.2996451e-10
-79.981867,2.2996454e-10
-79.972641,2.2996459e-10
-79.958801,2.2996463e-10
-79.938042,2.2996474e-10
-79.906903,2.2996487e-10
-79.860194,2.2996505e-10
-79.790131,2.2996535e-10
-79.685036,2.2996579e-10
-79.527395,2.2996646e-10
-79.290932,2.2996746e-10
-78.936238,2.2996899e-10
-78.404197,2.2997126e-10
-77.606135,2.2997468e-10
-76.409043,2.2997986e-10
-74.809043,2.2998685e-10
-73.209043,2.2999396e-10
-71.609043,2.3000115e-10
-70.009043,2.3000844e-10
-68.409043,2.3001583e-10
-66.809043,2.3002332e-10
-65.209043,2.3003092e-10
-64,2.3003674e-10
-62.4,2.3004452e-10
-60.8,2.3005243e-10
-59.2,2.3006048e-10
-57.6,2.3006861e-10
-56,2.3007691e-10
-54.4,2.3008532e-10
-52.8,2.3009386e-10
-51.2,2.3010254e-10
-49.6,2.3011137e-10
-48,2.3012035e-10
-46.4,2.3012947e-10
-44.8,2.3013875e-10
-43.2,2.301482e-10
-41.6,2.3015781e-10
-40,2.301676e-10
-38.4,2.3017757e-10
-36.8,2.3018773e-10
-35.2,2.3019808e-10
-33.6,2.3020863e-10
-32,2.302194e-10
-30.4,2.3023038e-10
-28.8,2.3024159e-10
-27.2,2.3025304e-10
-25.6,2.3026471e-10
-24,2.3027666e-10
-22.4,2.3028888e-10
-20.8,2.3030138e-10
-19.2,2.3031417e-10
-17.6,2.3032727e-10
-16,2.3034069e-10
-14.4,2.3035445e-10
-12.8,2.3036859e-10
-11.2,2.3038307e-10
-9.6,2.3039795e-10
-8,2.3041324e-10
-6.4,2.3042898e-10
-4.8,2.3044518e-10
-3.2,2.3046187e-10
-1.6,2.3047907e-10
0,2.3049683e-10
1.6,2.3051517e-10
3.2,2.3053416e-10
4.8,2.3055381e-10
6.4,2.3057418e-10
8,2.3059532e-10
9.6,2.3061729e-10
11.2,2.3064015e-10
12.8,2.3066399e-10
14.4,2.3068887e-10
16,2.3071491e-10
17.6,2.307422e-10
19.2,2.3077087e-10
20.8,2.3080105e-10
22.4,2.308329e-10
24,2.308666e-10
25.6,2.3090237e-10
27.2,2.3094047e-10
28.8,2.3098114e-10
30.4,2.3102471e-10
32,2.3107152e-10
33.6,2.3112194e-10
35.2,2.311762e-10
36.8,2.3123421e-10
38.4,2.3129475e-10
40,2.313528e-10
41.6,2.3138823e-10
43.2,2.3129251e-10
44.8,2.2940868e-10
46.4,2.2659997e-10
48,6.2630536e-10
49.6,8.3514684e-10
51.2,8.6143093e-10
52.8,8.685843e-10
54.4,8.705952e-10
56,8.7240985e-10
57.6,8.7368841e-10
59.2,8.7361901e-10
60.8,8.7355512e-10
62.4,8.7379856e-10
64,8.7401524e-10
65.6,8.7418841e-10
67.2,8.7429595e-10
68.8,8.7444625e-10
70.4,8.7454837e-10
72,8.7460619e-10
73.6,8.7467676e-10
75.2,8.7474447e-10
76.8,8.7483594e-10
78.4,8.74856e-10
80,8.7487287e-10

