Voltage,Capacitance
-80,2.1383481e-10
-79.99984,2.1383482e-10
-79.9996,2.1383482e-10
-79.99924,2.1383482e-10
-79.9987,2.138348e-10
-79.99789,2.1383484e-10
-79.996675,2.1383486e-10
-79.994852,2.1383485e-10
-79.992119,2.1383489e-10
-79.988018,2.1383494e-10
-79.981867,2.1383502e-10
-79.972641,2.1383516e-10
-79.958801,2.1383534e-10
-79.938042,2.138356e-10
-79.906903,2.13836e-10
-79.860194,2.1383656e-10
-79.790131,2.1383745e-10
-79.685036,2.1383879e-10
-79.527395,2.1384081e-10
-79.290932,2.1384383e-10
-78.936238,2.1384842e-10
-78.404197,2.1385529e-10
-77.606135,2.138657e-10
-76.435645,2.1388118e-10
-74.835645,2.1390271e-10
-73.235645,2.139248e-10
-71.635645,2.1394738e-10
-70.035645,2.1397049e-10
-68.435645,2.1399417e-10
-66.835645,2.1401844e-10
-65.235645,2.1404332e-10
-64,2.1406298e-10
-62.4,2.1408901e-10
-60.8,2.1411577e-10
-59.2,2.1414329e-10
-57.6,2.1417155e-10
-56,2.1420068e-10
-54.4,2.1423065e-10
-52.8,2.1426154e-10
-51.2,2.142934e-10
-49.6,2.1432629e-10
-48,2.143602e-10
-46.4,2.1439533e-10
-44.8,2.144317e-10
-43.2,2.1446938e-10
-41.6,2.1450847e-10
-40,2.1454906e-10
-38.4,2.1459126e-10
-36.8,2.1463519e-10
-35.2,2.1468098e-10
-33.6,2.1472878e-10
-32,2.1477876e-10
-30.4,2.1483109e-10
-28.8,2.1488605e-10
-27.2,2.1494368e-10
-25.6,2.1500446e-10
-24,2.1506856e-10
-22.4,2.1513635e-10
-20.8,2.152082e-10
-19.2,2.1528455e-10
-17.6,2.1536589e-10
-16,2.1545279e-10
-14.4,2.1554588e-10
-12.8,2.1564585e-10
-11.2,2.157536e-10
-9.6,2.1586985e-10
-8,2.1599567e-10
-6.4,2.1613169e-10
-4.8,2.1627864e-10
-3.2,2.164362e-10
-1.6,2.1660264e-10
0,2.1677279e-10
1.6,2.1693368e-10
3.2,2.1705908e-10
4.8,2.1709427e-10
6.4,2.1693824e-10
8,2.1643151e-10
9.6,2.1540611e-10
11.2,2.1385447e-10
12.8,2.1202409e-10
14.4,2.1010224e-10
16,2.0797581e-10
17.6,2.0555651e-10
19.2,2.0294695e-10
20.8,2.0026708e-10
22.4,1.9763877e-10
24,1.952001e-10
25.6,1.930918e-10
27.2,1.9143687e-10
28.8,1.9032676e-10
30.4,1.8982151e-10
32,1.8995995e-10
33.6,1.9077344e-10
35.2,1.9230029e-10
36.8,1.945963e-10
38.4,1.9773917e-10
40,2.0182867e-10
41.6,2.0698588e-10
43.2,2.133519e-10
44.8,2.210855e-10
46.4,2.3035858e-10
48,2.4134864e-10
49.6,2.5422776e-10
51.2,2.6914799e-10
52.8,2.8622415e-10
54.4,3.055155e-10
56,3.270092e-10
57.6,3.5060777e-10
59.2,3.7612401e-10
60.8,4.0329417e-10
62.4,4.3175414e-10
64,4.6109026e-10
65.6,4.9089255e-10
67.2,5.2071959e-10
68.8,5.5014425e-10
70.4,5.7877836e-10
72,6.0629138e-10
73.6,6.3241603e-10
75.2,6.5694655e-10
76.8,6.7974579e-10
78.4,7.007364e-10
80,7.1989651e-10

