Voltage,Capacitance
-80,2.1423599e-10
-79.99984,2.14236e-10
-79.9996,2.14236e-10
-79.99924,2.1423601e-10
-79.9987,2.1423599e-10
-79.99789,2.1423602e-10
-79.996675,2.1423604e-10
-79.994852,2.1423604e-10
-79.992119,2.1423608e-10
-79.988018,2.1423614e-10
-79.981867,2.1423623e-10
-79.972641,2.1423639e-10
-79.958801,2.1423659e-10
-79.938042,2.1423689e-10
-79.906903,2.1423734e-10
-79.860194,2.1423798e-10
-79.790131,2.14239e-10
-79.685036,2.1424051e-10
-79.527395,2.142428e-10
-79.290932,2.1424624e-10
-78.936238,2.1425144e-10
-78.404197,2.1425926e-10
-77.606135,2.1427111e-10
-76.435645,2.1428874e-10
-74.835645,2.1431336e-10
-73.235645,2.1433866e-10
-71.635645,2.143646e-10
-70.035645,2.1439124e-10
-68.435645,2.1441862e-10
-66.835645,2.1444676e-10
-65.235645,2.1447573e-10
-64,2.1449868e-10
-62.4,2.1452917e-10
-60.8,2.1456064e-10
-59.2,2.1459313e-10
-57.6,2.1462663e-10
-56,2.1466132e-10
-54.4,2.1469717e-10
-52.8,2.147343e-10
-51.2,2.1477279e-10
-49.6,2.1481274e-10
-48,2.1485418e-10
-46.4,2.1489735e-10
-44.8,2.1494231e-10
-43.2,2.149892e-10
-41.6,2.1503817e-10
-40,2.1508939e-10
-38.4,2.1514305e-10
-36.8,2.1519936e-10
-35.2,2.1525854e-10
-33.6,2.1532087e-10
-32,2.1538663e-10
-30.4,2.1545615e-10
-28.8,2.1552985e-10
-27.2,2.1560794e-10
-25.6,2.1569108e-10
-24,2.1577961e-10
-22.4,2.1587406e-10
-20.8,2.1597489e-10
-19.2,2.1608252e-10
-17.6,2.1619714e-10
-16,2.1631858e-10
-14.4,2.1644582e-10
-12.8,2.1657619e-10
-11.2,2.1670404e-10
-9.6,2.1681765e-10
-8,2.1689408e-10
-6.4,2.1688964e-10
-4.8,2.1672535e-10
-3.2,2.1627269e-10
-1.6,2.1536971e-10
0,2.1392878e-10
1.6,2.1209794e-10
3.2,2.1015074e-10
4.8,2.0810902e-10
6.4,2.0582051e-10
8,2.03311e-10
9.6,2.0071018e-10
11.2,1.9812738e-10
12.8,1.9568069e-10
14.4,1.9349592e-10
16,1.9169356e-10
17.6,1.9037298e-10
19.2,1.8960583e-10
20.8,1.8944056e-10
22.4,1.8991301e-10
24,1.9105913e-10
25.6,1.929271e-10
27.2,1.9558461e-10
28.8,1.9912097e-10
30.4,2.0364658e-10
32,2.092922e-10
33.6,2.1620747e-10
35.2,2.2455788e-10
36.8,2.3451916e-10
38.4,2.4626847e-10
40,2.5997185e-10
41.6,2.7576848e-10
43.2,2.9375283e-10
44.8,3.1395653e-10
46.4,3.3633327e-10
48,3.6074927e-10
49.6,3.8698092e-10
51.2,4.1471427e-10
52.8,4.4360221e-10
54.4,4.7318871e-10
56,5.0308012e-10
57.6,5.3278389e-10
59.2,5.6193203e-10
60.8,5.9014798e-10
62.4,6.1712613e-10
64,6.4262342e-10
65.6,6.6646491e-10
67.2,6.8853333e-10
68.8,7.0877822e-10
70.4,7.2719663e-10
72,7.4382983e-10
73.6,7.5875135e-10
75.2,7.7206183e-10
76.8,7.8387875e-10
78.4,7.9432815e-10
80,8.0354138e-10

