Voltage,Capacitance
-80,2.2997425e-10
-79.99984,2.2997425e-10
-79.9996,2.2997425e-10
-79.99924,2.2997426e-10
-79.9987,2.2997424e-10
-79.99789,2.2997426e-10
-79.996675,2.2997427e-10
-79.994852,2.2997426e-10
-79.992119,2.2997427e-10
-79.988018,2.2997429e-10
-79.981867,2.2997431e-10
-79.972641,2.2997437e-10
-79.958801,2.2997441e-10
-79.938042,2.2997452e-10
-79.906903,2.2997465e-10
-79.860194,2.2997483e-10
-79.790131,2.2997513e-10
-79.685036,2.2997558e-10
-79.527395,2.2997625e-10
-79.290932,2.2997726e-10
-78.936238,2.299788e-10
-78.404197,2.2998108e-10
-77.606135,2.2998453e-10
-76.409043,2.2998975e-10
-74.809043,2.2999679e-10
-73.209043,2.3000395e-10
-71.609043,2.3001119e-10
-70.009043,2.3001854e-10
-68.409043,2.3002599e-10
-66.809043,2.3003354e-10
-65.209043,2.300412e-10
-64,2.3004706e-10
-62.4,2.3005491e-10
-60.8,2.3006288e-10
-59.2,2.30071e-10
-57.6,2.300792e-10
-56,2.3008757e-10
-54.4,2.3009605e-10
-52.8,2.3010467e-10
-51.2,2.3011343e-10
-49.6,2.3012234e-10
-48,2.3013139e-10
-46.4,2.301406e-10
-44.8,2.3014997e-10
-43.2,2.3015951e-10
-41.6,2.3016922e-10
-40,2.301791e-10
-38.4,2.3018918e-10
-36.8,2.3019944e-10
-35.2,2.302099e-10
-33.6,2.3022056e-10
-32,2.3023144e-10
-30.4,2.3024255e-10
-28.8,2.3025388e-10
-27.2,2.3026546e-10
-25.6,2.3027727e-10
-24,2.3028936e-10
-22.4,2.3030173e-10
-20.8,2.3031438e-10
-19.2,2.3032734e-10
-17.6,2.3034061e-10
-16,2.3035421e-10
-14.4,2.3036815e-10
-12.8,2.3038249e-10
-11.2,2.3039716e-10
-9.6,2.3041226e-10
-8,2.3042778e-10
-6.4,2.3044376e-10
-4.8,2.3046021e-10
-3.2,2.3047716e-10
-1.6,2.3049465e-10
0,2.305127e-10
1.6,2.3053136e-10
3.2,2.305507e-10
4.8,2.3057071e-10
6.4,2.3059147e-10
8,2.3061302e-10
9.6,2.3063544e-10
11.2,2.3065879e-10
12.8,2.3068314e-10
14.4,2.3070859e-10
16,2.3073524e-10
17.6,2.307632e-10
19.2,2.307926e-10
20.8,2.3082358e-10
22.4,2.3085631e-10
24,2.3089099e-10
25.6,2.3092784e-10
27.2,2.3096714e-10
28.8,2.3100914e-10
30.4,2.3105419e-10
32,2.3110263e-10
33.6,2.3115477e-10
35.2,2.3121073e-10
36.8,2.3127001e-10
38.4,2.3133019e-10
40,2.3138199e-10
41.6,2.3138572e-10
43.2,2.3107014e-10
44.8,2.2149819e-10
46.4,2.3014973e-10
48,6.2701669e-10
49.6,8.3523775e-10
51.2,8.6175257e-10
52.8,8.6766307e-10
54.4,8.7001463e-10
56,8.7284175e-10
57.6,8.7270711e-10
59.2,8.7291411e-10
60.8,8.7354148e-10
62.4,8.7376761e-10
64,8.7404555e-10
65.6,8.7418139e-10
67.2,8.7431056e-10
68.8,8.7438194e-10
70.4,8.7452303e-10
72,8.7455837e-10
73.6,8.7464554e-10
75.2,8.7472738e-10
76.8,8.7482069e-10
78.4,8.7483885e-10
80,8.7487709e-10

