Voltage,Capacitance
-80,1.7817664e-10
-79.99984,1.7817665e-10
-79.9996,1.7817665e-10
-79.99924,1.7817666e-10
-79.9987,1.7817666e-10
-79.99789,1.781767e-10
-79.996675,1.7817673e-10
-79.994852,1.7817676e-10
-79.992119,1.7817682e-10
-79.988018,1.7817693e-10
-79.981867,1.7817708e-10
-79.972641,1.7817732e-10
-79.958801,1.7817765e-10
-79.938042,1.7817818e-10
-79.906903,1.7817896e-10
-79.860194,1.781801e-10
-79.790131,1.7818183e-10
-79.685036,1.7818443e-10
-79.527395,1.7818832e-10
-79.290932,1.7819414e-10
-78.94412,1.7820259e-10
-78.435462,1.7821485e-10
-77.689431,1.7823253e-10
-76.595252,1.7825771e-10
-74.995252,1.7829267e-10
-73.395252,1.7832513e-10
-71.795252,1.7835464e-10
-70.195252,1.7838087e-10
-68.595252,1.7840355e-10
-66.995252,1.7842248e-10
-65.395252,1.7843762e-10
-64,1.7844779e-10
-62.4,1.7845623e-10
-60.8,1.7846174e-10
-59.2,1.7846506e-10
-57.6,1.7846714e-10
-56,1.7846922e-10
-54.4,1.7847262e-10
-52.8,1.7847876e-10
-51.2,1.7848902e-10
-49.6,1.7850468e-10
-48,1.7852693e-10
-46.4,1.7855681e-10
-44.8,1.7859537e-10
-43.2,1.7864365e-10
-41.6,1.7870272e-10
-40,1.7877362e-10
-38.4,1.7885731e-10
-36.8,1.7895457e-10
-35.2,1.7906591e-10
-33.6,1.7919154e-10
-32,1.7933144e-10
-30.4,1.7948537e-10
-28.8,1.7965298e-10
-27.2,1.7983388e-10
-25.6,1.8002765e-10
-24,1.8023396e-10
-22.4,1.8045252e-10
-20.8,1.8068312e-10
-19.2,1.8092572e-10
-17.6,1.8118041e-10
-16,1.8144745e-10
-14.4,1.8172735e-10
-12.8,1.8202088e-10
-11.2,1.8232907e-10
-9.6,1.8265348e-10
-8,1.8299608e-10
-6.4,1.8335946e-10
-4.8,1.8374687e-10
-3.2,1.8416238e-10
-1.6,1.84611e-10
0,1.8509881e-10
1.6,1.8563322e-10
3.2,1.8622317e-10
4.8,1.8687939e-10
6.4,1.8761486e-10
8,1.8844525e-10
9.6,1.8938949e-10
11.2,1.9047049e-10
12.8,1.9171599e-10
14.4,1.9315951e-10
16,1.9484148e-10
17.6,1.9681038e-10
19.2,1.9912399e-10
20.8,2.0185068e-10
22.4,2.0507058e-10
24,2.0887691e-10
25.6,2.1337733e-10
27.2,2.1869547e-10
28.8,2.2497277e-10
30.4,2.3237057e-10
32,2.41072e-10
33.6,2.5128303e-10
35.2,2.632311e-10
36.8,2.7715879e-10
38.4,2.9330964e-10
40,3.1190298e-10
41.6,3.3309752e-10
43.2,3.5694987e-10
44.8,3.8338911e-10
46.4,4.1224e-10
48,4.4337576e-10
49.6,4.7728087e-10
51.2,5.1761048e-10
52.8,5.9446051e-10
54.4,7.9097286e-10
56,8.5124592e-10
57.6,8.6530777e-10
59.2,8.6939388e-10
60.8,8.7079503e-10
62.4,8.7210024e-10
64,8.7253117e-10
65.6,8.7330753e-10
67.2,8.7359897e-10
68.8,8.7389067e-10
70.4,8.7405735e-10
72,8.7421259e-10
73.6,8.7436385e-10
75.2,8.7446423e-10
76.8,8.7454532e-10
78.4,8.7464147e-10
80,8.746951e-10

