80,8.545E-10
79,8.547E-10
78,8.538E-10
77,8.533E-10
76,8.529E-10
75,8.52E-10
74,8.516E-10
73,8.506E-10
72,8.498E-10
71,8.491E-10
70,8.48E-10
69,8.473E-10
68,8.466E-10
67,8.455E-10
66,8.449E-10
65,8.444E-10
64,8.441E-10
63,8.437E-10
62,8.43E-10
61,8.417E-10
60,8.403E-10
59,8.391E-10
58,8.375E-10
57,8.352E-10
56,8.324E-10
55,8.293E-10
54,8.247E-10
53,8.183E-10
52,8.102E-10
51,7.973E-10
50,7.749E-10
49,7.376E-10
48,6.797E-10
47,6.096E-10
46,5.333E-10
45,4.618E-10
44,3.948E-10
43,3.402E-10
42,2.928E-10
41,2.569E-10
40,2.277E-10
39,2.06E-10
38,1.885E-10
37,1.7577E-10
36,1.6488E-10
35,1.5623E-10
34,1.4998E-10
33,1.4466E-10
32,1.4033E-10
31,1.3674E-10
30,1.3388E-10
29,1.3156E-10
28,1.2959E-10
27,1.2781E-10
26,1.2645E-10
25,1.2538E-10
24,1.2451E-10
23,1.2365E-10
22,1.232E-10
21,1.2305E-10
20,1.2291E-10
19,1.2354E-10
18,1.2439E-10
17,1.2558E-10
16,1.2722E-10
15,1.292E-10
14,1.3198E-10
13,1.3476E-10
12,1.3808E-10
11,1.4168E-10
10,1.4541E-10
9,1.4937E-10
8,1.5285E-10
7,1.5683E-10
6,1.602E-10
5,1.6345E-10
4,1.6618E-10
3,1.6941E-10
2,1.7212E-10
1,1.749E-10
0,1.7664E-10
-1,1.789E-10
-2,1.8054E-10
-3,1.8259E-10
-4,1.837E-10
-5,1.8524E-10
-6,1.8656E-10
-7,1.8778E-10
-8,1.886E-10
-9,1.8931E-10
-10,1.9044E-10
