Voltage,Capacitance
-80,2.2994172e-10
-79.99984,2.2994172e-10
-79.9996,2.2994172e-10
-79.99924,2.2994172e-10
-79.9987,2.2994171e-10
-79.99789,2.2994173e-10
-79.996675,2.2994173e-10
-79.994852,2.2994172e-10
-79.992119,2.2994174e-10
-79.988018,2.2994175e-10
-79.981867,2.2994178e-10
-79.972641,2.2994183e-10
-79.958801,2.2994187e-10
-79.938042,2.2994198e-10
-79.906903,2.2994211e-10
-79.860194,2.2994228e-10
-79.790131,2.2994257e-10
-79.685036,2.2994301e-10
-79.527395,2.2994366e-10
-79.290932,2.2994465e-10
-78.936238,2.2994614e-10
-78.404197,2.2994837e-10
-77.606135,2.2995173e-10
-76.409043,2.299568e-10
-74.809043,2.2996365e-10
-73.209043,2.2997061e-10
-71.609043,2.2997765e-10
-70.009043,2.2998479e-10
-68.409043,2.2999202e-10
-66.809043,2.2999936e-10
-65.209043,2.3000679e-10
-64,2.3001248e-10
-62.4,2.3002009e-10
-60.8,2.3002782e-10
-59.2,2.3003568e-10
-57.6,2.3004363e-10
-56,2.3005173e-10
-54.4,2.3005993e-10
-52.8,2.3006827e-10
-51.2,2.3007674e-10
-49.6,2.3008534e-10
-48,2.3009409e-10
-46.4,2.3010297e-10
-44.8,2.3011201e-10
-43.2,2.301212e-10
-41.6,2.3013055e-10
-40,2.3014007e-10
-38.4,2.3014975e-10
-36.8,2.3015962e-10
-35.2,2.3016966e-10
-33.6,2.301799e-10
-32,2.3019034e-10
-30.4,2.3020098e-10
-28.8,2.3021183e-10
-27.2,2.3022291e-10
-25.6,2.3023419e-10
-24,2.3024574e-10
-22.4,2.3025753e-10
-20.8,2.3026959e-10
-19.2,2.3028192e-10
-17.6,2.3029454e-10
-16,2.3030745e-10
-14.4,2.3032068e-10
-12.8,2.3033426e-10
-11.2,2.3034815e-10
-9.6,2.3036241e-10
-8,2.3037704e-10
-6.4,2.3039209e-10
-4.8,2.3040755e-10
-3.2,2.3042346e-10
-1.6,2.3043985e-10
0,2.3045672e-10
1.6,2.3047413e-10
3.2,2.3049212e-10
4.8,2.3051071e-10
6.4,2.3052993e-10
8,2.3054984e-10
9.6,2.3057049e-10
11.2,2.3059192e-10
12.8,2.3061421e-10
14.4,2.3063741e-10
16,2.3066162e-10
17.6,2.306869e-10
19.2,2.3071337e-10
20.8,2.3074112e-10
22.4,2.3077029e-10
24,2.3080102e-10
25.6,2.3083347e-10
27.2,2.3086785e-10
28.8,2.3090434e-10
30.4,2.3094321e-10
32,2.3098475e-10
33.6,2.3102927e-10
35.2,2.3107711e-10
36.8,2.3112858e-10
38.4,2.3118387e-10
40,2.3124261e-10
41.6,2.3130289e-10
43.2,2.3135745e-10
44.8,2.3137682e-10
46.4,2.3118861e-10
48,2.2754742e-10
49.6,1.9417933e-10
51.2,3.4224443e-10
52.8,8.0492171e-10
54.4,8.5465546e-10
56,8.6645767e-10
57.6,8.696813e-10
59.2,8.7137224e-10
60.8,8.7179917e-10
62.4,8.7279638e-10
64,8.7342993e-10
65.6,8.7368787e-10
67.2,8.7390835e-10
68.8,8.7412018e-10
70.4,8.7423932e-10
72,8.7438475e-10
73.6,8.7445203e-10
75.2,8.7454578e-10
76.8,8.7462892e-10
78.4,8.7467579e-10
80,8.7475127e-10

