Voltage,Capacitance
-80,2.2993289e-10
-79.99984,2.2993289e-10
-79.9996,2.2993289e-10
-79.99924,2.2993289e-10
-79.9987,2.2993288e-10
-79.99789,2.299329e-10
-79.996675,2.299329e-10
-79.994852,2.2993289e-10
-79.992119,2.299329e-10
-79.988018,2.2993292e-10
-79.981867,2.2993295e-10
-79.972641,2.29933e-10
-79.958801,2.2993304e-10
-79.938042,2.2993314e-10
-79.906903,2.2993327e-10
-79.860194,2.2993345e-10
-79.790131,2.2993373e-10
-79.685036,2.2993417e-10
-79.527395,2.2993482e-10
-79.290932,2.2993579e-10
-78.936238,2.2993728e-10
-78.404197,2.2993949e-10
-77.606135,2.2994282e-10
-76.409043,2.2994785e-10
-74.809043,2.2995464e-10
-73.209043,2.2996155e-10
-71.609043,2.2996854e-10
-70.009043,2.2997562e-10
-68.409043,2.2998279e-10
-66.809043,2.2999006e-10
-65.209043,2.2999743e-10
-64,2.3000307e-10
-62.4,2.3001061e-10
-60.8,2.3001827e-10
-59.2,2.3002607e-10
-57.6,2.3003394e-10
-56,2.3004196e-10
-54.4,2.3005009e-10
-52.8,2.3005835e-10
-51.2,2.3006673e-10
-49.6,2.3007525e-10
-48,2.3008391e-10
-46.4,2.300927e-10
-44.8,2.3010165e-10
-43.2,2.3011074e-10
-41.6,2.3011999e-10
-40,2.301294e-10
-38.4,2.3013898e-10
-36.8,2.3014874e-10
-35.2,2.3015867e-10
-33.6,2.3016878e-10
-32,2.301791e-10
-30.4,2.3018961e-10
-28.8,2.3020032e-10
-27.2,2.3021126e-10
-25.6,2.302224e-10
-24,2.3023379e-10
-22.4,2.3024543e-10
-20.8,2.3025732e-10
-19.2,2.3026948e-10
-17.6,2.3028191e-10
-16,2.3029464e-10
-14.4,2.3030767e-10
-12.8,2.3032104e-10
-11.2,2.303347e-10
-9.6,2.3034873e-10
-8,2.3036312e-10
-6.4,2.3037791e-10
-4.8,2.303931e-10
-3.2,2.3040873e-10
-1.6,2.3042481e-10
0,2.3044136e-10
1.6,2.3045842e-10
3.2,2.3047605e-10
4.8,2.3049424e-10
6.4,2.3051305e-10
8,2.3053251e-10
9.6,2.3055268e-10
11.2,2.305736e-10
12.8,2.3059533e-10
14.4,2.3061793e-10
16,2.3064148e-10
17.6,2.3066606e-10
19.2,2.3069174e-10
20.8,2.3071864e-10
22.4,2.3074687e-10
24,2.3077657e-10
25.6,2.3080787e-10
27.2,2.3084097e-10
28.8,2.3087603e-10
30.4,2.3091329e-10
32,2.3095303e-10
33.6,2.3099552e-10
35.2,2.310411e-10
36.8,2.310901e-10
38.4,2.311428e-10
40,2.3119924e-10
41.6,2.3125874e-10
43.2,2.313183e-10
44.8,2.3136679e-10
46.4,2.3135619e-10
48,2.3094636e-10
49.6,2.211162e-10
51.2,2.0070728e-10
52.8,3.6776272e-10
54.4,8.0950028e-10
56,8.5545911e-10
57.6,8.6561026e-10
59.2,8.697526e-10
60.8,8.7089999e-10
62.4,8.7254429e-10
64,8.7275895e-10
65.6,8.7335247e-10
67.2,8.7374045e-10
68.8,8.7392576e-10
70.4,8.7416409e-10
72,8.7424106e-10
73.6,8.7438599e-10
75.2,8.7446307e-10
76.8,8.7456395e-10
78.4,8.7461786e-10
80,8.7471918e-10

