Voltage,Capacitance
-80,2.1355075e-10
-79.99984,2.1355076e-10
-79.9996,2.1355076e-10
-79.99924,2.1355076e-10
-79.9987,2.1355074e-10
-79.99789,2.1355078e-10
-79.996675,2.135508e-10
-79.994852,2.1355079e-10
-79.992119,2.1355083e-10
-79.988018,2.1355088e-10
-79.981867,2.1355096e-10
-79.972641,2.135511e-10
-79.958801,2.1355128e-10
-79.938042,2.1355154e-10
-79.906903,2.1355194e-10
-79.860194,2.1355251e-10
-79.790131,2.135534e-10
-79.685036,2.1355474e-10
-79.527395,2.1355676e-10
-79.290932,2.1355979e-10
-78.936238,2.1356439e-10
-78.404197,2.1357129e-10
-77.606135,2.1358173e-10
-76.435645,2.1359726e-10
-74.835645,2.1361889e-10
-73.235645,2.1364108e-10
-71.635645,2.1366379e-10
-70.035645,2.1368705e-10
-68.435645,2.137109e-10
-66.835645,2.1373537e-10
-65.235645,2.1376048e-10
-64,2.1378034e-10
-62.4,2.1380665e-10
-60.8,2.1383373e-10
-59.2,2.1386162e-10
-57.6,2.1389027e-10
-56,2.1391985e-10
-54.4,2.1395032e-10
-52.8,2.1398177e-10
-51.2,2.1401424e-10
-49.6,2.1404782e-10
-48,2.1408249e-10
-46.4,2.1411847e-10
-44.8,2.1415578e-10
-43.2,2.1419451e-10
-41.6,2.1423476e-10
-40,2.1427664e-10
-38.4,2.1432028e-10
-36.8,2.1436582e-10
-35.2,2.144134e-10
-33.6,2.1446321e-10
-32,2.1451543e-10
-30.4,2.1457028e-10
-28.8,2.1462808e-10
-27.2,2.146889e-10
-25.6,2.147533e-10
-24,2.1482151e-10
-22.4,2.1489397e-10
-20.8,2.1497117e-10
-19.2,2.1505366e-10
-17.6,2.1514207e-10
-16,2.1523716e-10
-14.4,2.1533976e-10
-12.8,2.1545084e-10
-11.2,2.155716e-10
-9.6,2.1570313e-10
-8,2.1584689e-10
-6.4,2.1600391e-10
-4.8,2.1617519e-10
-3.2,2.163603e-10
-1.6,2.1655643e-10
0,2.1675517e-10
1.6,2.1693554e-10
3.2,2.1705366e-10
4.8,2.1702071e-10
6.4,2.1668385e-10
8,2.1584779e-10
9.6,2.1442178e-10
11.2,2.1260268e-10
12.8,2.1067071e-10
14.4,2.0859246e-10
16,2.062214e-10
17.6,2.036125e-10
19.2,2.0088598e-10
20.8,1.9815694e-10
22.4,1.9555073e-10
24,1.9319238e-10
25.6,1.9119466e-10
27.2,1.8964203e-10
28.8,1.8859223e-10
30.4,1.8809457e-10
32,1.8820753e-10
33.6,1.8902131e-10
35.2,1.9070106e-10
36.8,1.9355109e-10
38.4,1.9811244e-10
40,2.0534623e-10
41.6,2.1698164e-10
43.2,2.3612912e-10
44.8,2.6920531e-10
46.4,3.9432424e-10
48,8.4805107e-10
49.6,8.6562369e-10
51.2,8.6988378e-10
52.8,8.7158931e-10
54.4,8.7128457e-10
56,8.7248745e-10
57.6,8.7328004e-10
59.2,8.7365186e-10
60.8,8.7383404e-10
62.4,8.7407729e-10
64,8.741409e-10
65.6,8.7430859e-10
67.2,8.7443026e-10
68.8,8.7452832e-10
70.4,8.7457985e-10
72,8.7465436e-10
73.6,8.7467907e-10
75.2,8.7475885e-10
76.8,8.748408e-10
78.4,8.7482777e-10
80,8.7483064e-10

