Voltage,Capacitance
-80,2.1356093e-10
-79.99984,2.1356093e-10
-79.9996,2.1356094e-10
-79.99924,2.1356094e-10
-79.9987,2.1356092e-10
-79.99789,2.1356096e-10
-79.996675,2.1356097e-10
-79.994852,2.1356096e-10
-79.992119,2.13561e-10
-79.988018,2.1356104e-10
-79.981867,2.1356112e-10
-79.972641,2.1356126e-10
-79.958801,2.1356142e-10
-79.938042,2.1356167e-10
-79.906903,2.1356204e-10
-79.860194,2.1356256e-10
-79.790131,2.135634e-10
-79.685036,2.1356465e-10
-79.527395,2.1356653e-10
-79.290932,2.1356935e-10
-78.936238,2.1357363e-10
-78.404197,2.1358005e-10
-77.606135,2.1358976e-10
-76.435645,2.1360418e-10
-74.835645,2.1362422e-10
-73.235645,2.1364474e-10
-71.635645,2.1366568e-10
-70.035645,2.1368708e-10
-68.435645,2.1370897e-10
-66.835645,2.1373135e-10
-65.235645,2.1375427e-10
-64,2.1377234e-10
-62.4,2.1379621e-10
-60.8,2.1382071e-10
-59.2,2.1384585e-10
-57.6,2.138716e-10
-56,2.1389808e-10
-54.4,2.1392525e-10
-52.8,2.1395318e-10
-51.2,2.139819e-10
-49.6,2.1401147e-10
-48,2.1404185e-10
-46.4,2.1407323e-10
-44.8,2.141056e-10
-43.2,2.1413902e-10
-41.6,2.1417355e-10
-40,2.1420926e-10
-38.4,2.1424624e-10
-36.8,2.1428455e-10
-35.2,2.1432429e-10
-33.6,2.1436557e-10
-32,2.144085e-10
-30.4,2.1445319e-10
-28.8,2.1449985e-10
-27.2,2.1454844e-10
-25.6,2.1459934e-10
-24,2.1465263e-10
-22.4,2.1470853e-10
-20.8,2.147673e-10
-19.2,2.1482919e-10
-17.6,2.1489451e-10
-16,2.149636e-10
-14.4,2.1503685e-10
-12.8,2.1511468e-10
-11.2,2.1519767e-10
-9.6,2.1528628e-10
-8,2.1538129e-10
-6.4,2.1548329e-10
-4.8,2.1559322e-10
-3.2,2.1571184e-10
-1.6,2.1584006e-10
0,2.1597876e-10
1.6,2.1612781e-10
3.2,2.1628717e-10
4.8,2.1645409e-10
6.4,2.1662184e-10
8,2.1677495e-10
9.6,2.1688101e-10
11.2,2.1687575e-10
12.8,2.1664401e-10
14.4,2.160181e-10
16,2.1485845e-10
17.6,2.1323494e-10
19.2,2.1141595e-10
20.8,2.0949461e-10
22.4,2.0732371e-10
24,2.0488182e-10
25.6,2.0229152e-10
27.2,1.9966952e-10
28.8,1.9714747e-10
30.4,1.9487217e-10
32,1.9298522e-10
33.6,1.9160281e-10
35.2,1.9080554e-10
36.8,1.9063849e-10
38.4,1.9112226e-10
40,1.9227027e-10
41.6,1.9410304e-10
43.2,1.9665479e-10
44.8,1.9997424e-10
46.4,2.0412273e-10
48,2.0917183e-10
49.6,2.1520077e-10
51.2,2.222938e-10
52.8,2.3053694e-10
54.4,2.400141e-10
56,2.5080242e-10
57.6,2.6296684e-10
59.2,2.7655421e-10
60.8,2.9158728e-10
62.4,3.0805902e-10
64,3.2592798e-10
65.6,3.4511555e-10
67.2,3.6550508e-10
68.8,3.8694397e-10
70.4,4.0924525e-10
72,4.3221774e-10
73.6,4.5560951e-10
75.2,4.7918893e-10
76.8,5.0275839e-10
78.4,5.2607421e-10
80,5.4894203e-10

