Voltage,Capacitance
-80,2.1357612e-10
-79.99984,2.1357612e-10
-79.9996,2.1357612e-10
-79.99924,2.1357613e-10
-79.9987,2.1357611e-10
-79.99789,2.1357615e-10
-79.996675,2.1357617e-10
-79.994852,2.1357617e-10
-79.992119,2.135762e-10
-79.988018,2.1357626e-10
-79.981867,2.1357635e-10
-79.972641,2.1357651e-10
-79.958801,2.1357672e-10
-79.938042,2.1357702e-10
-79.906903,2.1357747e-10
-79.860194,2.1357812e-10
-79.790131,2.1357914e-10
-79.685036,2.1358067e-10
-79.527395,2.1358297e-10
-79.290932,2.1358643e-10
-78.936238,2.1359168e-10
-78.404197,2.1359956e-10
-77.606135,2.136115e-10
-76.435645,2.1362929e-10
-74.835645,2.1365414e-10
-73.235645,2.136797e-10
-71.635645,2.1370594e-10
-70.035645,2.1373291e-10
-68.435645,2.1376066e-10
-66.835645,2.1378922e-10
-65.235645,2.1381865e-10
-64,2.1384199e-10
-62.4,2.1387304e-10
-60.8,2.1390512e-10
-59.2,2.139383e-10
-57.6,2.1397256e-10
-56,2.1400808e-10
-54.4,2.1404487e-10
-52.8,2.1408303e-10
-51.2,2.1412266e-10
-49.6,2.1416388e-10
-48,2.1420672e-10
-46.4,2.1425146e-10
-44.8,2.1429817e-10
-43.2,2.14347e-10
-41.6,2.1439814e-10
-40,2.144518e-10
-38.4,2.1450818e-10
-36.8,2.1456755e-10
-35.2,2.1463018e-10
-33.6,2.146964e-10
-32,2.1476656e-10
-30.4,2.1484107e-10
-28.8,2.1492046e-10
-27.2,2.1500504e-10
-25.6,2.150956e-10
-24,2.1519263e-10
-22.4,2.1529679e-10
-20.8,2.1540872e-10
-19.2,2.1552893e-10
-17.6,2.1565765e-10
-16,2.1579447e-10
-14.4,2.1593762e-10
-12.8,2.1608274e-10
-11.2,2.1622027e-10
-9.6,2.1633087e-10
-8,2.1637654e-10
-6.4,2.1628651e-10
-4.8,2.1594062e-10
-3.2,2.1517217e-10
-1.6,2.1385059e-10
0,2.1205983e-10
1.6,2.100968e-10
3.2,2.0808471e-10
4.8,2.058713e-10
6.4,2.0341601e-10
8,2.0083581e-10
9.6,1.982378e-10
11.2,1.9572826e-10
12.8,1.9341395e-10
14.4,1.9139659e-10
16,1.8976205e-10
17.6,1.8857255e-10
19.2,1.878769e-10
20.8,1.8772782e-10
22.4,1.8819752e-10
24,1.8940557e-10
25.6,1.9156755e-10
27.2,1.950626e-10
28.8,2.0054493e-10
30.4,2.09162e-10
32,2.2295468e-10
33.6,2.4556753e-10
35.2,2.8571814e-10
36.8,4.4127268e-10
38.4,8.1751769e-10
40,8.5955493e-10
41.6,8.6804136e-10
43.2,8.7007158e-10
44.8,8.7198934e-10
46.4,8.7233865e-10
48,8.7306924e-10
49.6,8.7343982e-10
51.2,8.7376405e-10
52.8,8.7393086e-10
54.4,8.7408281e-10
56,8.7415136e-10
57.6,8.7433462e-10
59.2,8.7442574e-10
60.8,8.7456331e-10
62.4,8.7464161e-10
64,8.7468884e-10
65.6,8.7474882e-10
67.2,8.7476955e-10
68.8,8.7480306e-10
70.4,8.7486736e-10
72,8.7487179e-10
73.6,8.7491064e-10
75.2,8.7495541e-10
76.8,8.7501406e-10
78.4,8.7503811e-10
80,8.7503646e-10

