Voltage,Capacitance
-80,1.8176293e-10
-79.99984,1.8176806e-10
-79.999611,1.8177211e-10
-79.999267,1.8176334e-10
-79.998751,1.8176604e-10
-79.997977,1.8176206e-10
-79.996816,1.8176541e-10
-79.995074,1.817694e-10
-79.992462,1.8176207e-10
-79.988544,1.8177057e-10
-79.982666,1.8177042e-10
-79.97385,1.8177053e-10
-79.960625,1.8176003e-10
-79.940788,1.8176491e-10
-79.911033,1.8176992e-10
-79.8664,1.8176355e-10
-79.799451,1.8176191e-10
-79.699028,1.817711e-10
-79.548392,1.8177543e-10
-79.322439,1.817686e-10
-78.983509,1.8177283e-10
-78.475114,1.8176833e-10
-77.712522,1.8177218e-10
-76.594053,1.817726e-10
-74.994053,1.8176337e-10
-73.394053,1.8176567e-10
-71.794053,1.8176568e-10
-70.194053,1.8176538e-10
-68.594053,1.8176058e-10
-66.994053,1.8176461e-10
-65.394053,1.8176344e-10
-64,1.8176814e-10
-62.4,1.8176245e-10
-60.8,1.8176134e-10
-59.2,1.8175663e-10
-57.6,1.8176348e-10
-56,1.8176096e-10
-54.4,1.8176076e-10
-52.8,1.817628e-10
-51.2,1.8175995e-10
-49.6,1.8175412e-10
-48,1.8175753e-10
-46.4,1.8175249e-10
-44.8,1.817547e-10
-43.2,1.8175336e-10
-41.6,1.8174692e-10
-40,1.8174666e-10
-38.4,1.8174439e-10
-36.8,1.817471e-10
-35.2,1.8173952e-10
-33.6,1.8174423e-10
-32,1.8174466e-10
-30.4,1.8174052e-10
-28.8,1.8173452e-10
-27.2,1.8174162e-10
-25.6,1.8173542e-10
-24,1.8173205e-10
-22.4,1.8173452e-10
-20.8,1.8173157e-10
-19.2,1.8172533e-10
-17.6,1.817173e-10
-16,1.8171856e-10
-14.4,1.8172185e-10
-12.8,1.8172026e-10
-11.2,1.8171494e-10
-9.6,1.8171052e-10
-8,1.8170348e-10
-6.4,1.8170441e-10
-4.8,1.8169524e-10
-3.2,1.8169331e-10
-1.6,1.8168963e-10
0,1.8167829e-10
1.6,1.8166727e-10
3.2,1.8166291e-10
4.8,1.816524e-10
6.4,1.8164055e-10
8,1.8162878e-10
9.6,1.8161025e-10
11.2,1.815892e-10
12.8,1.8156116e-10
14.4,1.8151086e-10
16,1.8146731e-10
17.6,1.8133759e-10
19.2,1.8112162e-10
20.8,1.8034426e-10
22.4,1.7954601e-10
24,1.7911795e-10
25.6,1.7937449e-10
27.2,1.8069631e-10
28.8,1.8333164e-10
30.4,1.8724705e-10
32,1.941639e-10
33.6,2.0536147e-10
35.2,2.2784999e-10
36.8,3.2332583e-10
38.4,7.8523467e-10
40,8.5296524e-10
41.6,8.6646766e-10
43.2,8.693353e-10
44.8,8.7165315e-10
46.4,8.7209075e-10
48,8.7317166e-10
49.6,8.7347732e-10
51.2,8.7371948e-10
52.8,8.7429564e-10
54.4,8.7409991e-10
56,8.7471925e-10
57.6,8.7489031e-10
59.2,8.7428455e-10
60.8,8.7445807e-10
62.4,8.7495201e-10
64,8.7503938e-10
65.6,8.7501535e-10
67.2,8.7483584e-10
68.8,8.7475417e-10
70.4,8.7517264e-10
72,8.7558845e-10
73.6,8.7473248e-10
75.2,8.7553011e-10
76.8,8.7497582e-10
78.4,8.7543311e-10
80,8.7479355e-10

