Voltage,Capacitance
-80,1.817933e-10
-79.99984,1.8179194e-10
-79.9996,1.8178313e-10
-79.999248,1.817945e-10
-79.998732,1.8179212e-10
-79.997957,1.8179451e-10
-79.996796,1.817956e-10
-79.995053,1.8179516e-10
-79.99244,1.8179191e-10
-79.988519,1.8179427e-10
-79.982639,1.8179069e-10
-79.973818,1.8179571e-10
-79.960586,1.8179356e-10
-79.940739,1.8178955e-10
-79.910969,1.8179221e-10
-79.866313,1.8179247e-10
-79.799329,1.8179246e-10
-79.698854,1.8178901e-10
-79.54814,1.8179088e-10
-79.32207,1.8178741e-10
-78.982965,1.8179357e-10
-78.474308,1.8179718e-10
-77.711322,1.8179776e-10
-76.566842,1.8179381e-10
-74.966842,1.8179265e-10
-73.366842,1.8179409e-10
-71.766842,1.8179592e-10
-70.166842,1.8178459e-10
-68.566842,1.8179128e-10
-66.966842,1.8178262e-10
-65.366842,1.8179006e-10
-64,1.817887e-10
-62.4,1.8178062e-10
-60.8,1.8178898e-10
-59.2,1.8178756e-10
-57.6,1.8178319e-10
-56,1.8178658e-10
-54.4,1.8178015e-10
-52.8,1.8178083e-10
-51.2,1.8178327e-10
-49.6,1.8178296e-10
-48,1.8178252e-10
-46.4,1.8178167e-10
-44.8,1.8177926e-10
-43.2,1.8177548e-10
-41.6,1.817797e-10
-40,1.8177449e-10
-38.4,1.8177514e-10
-36.8,1.8176627e-10
-35.2,1.8177755e-10
-33.6,1.8177392e-10
-32,1.8177167e-10
-30.4,1.8177639e-10
-28.8,1.8177278e-10
-27.2,1.8177181e-10
-25.6,1.8176356e-10
-24,1.817679e-10
-22.4,1.8176516e-10
-20.8,1.8176721e-10
-19.2,1.8176465e-10
-17.6,1.8176528e-10
-16,1.817609e-10
-14.4,1.8176165e-10
-12.8,1.8176113e-10
-11.2,1.8175469e-10
-9.6,1.817527e-10
-8,1.8175112e-10
-6.4,1.8175336e-10
-4.8,1.8174977e-10
-3.2,1.817483e-10
-1.6,1.817423e-10
0,1.8174078e-10
1.6,1.8174127e-10
3.2,1.8173139e-10
4.8,1.817334e-10
6.4,1.8172998e-10
8,1.8172581e-10
9.6,1.8171664e-10
11.2,1.8171501e-10
12.8,1.8171146e-10
14.4,1.8170224e-10
16,1.8169651e-10
17.6,1.8168848e-10
19.2,1.8168141e-10
20.8,1.8167041e-10
22.4,1.8165827e-10
24,1.8164252e-10
25.6,1.8162557e-10
27.2,1.8160052e-10
28.8,1.8157255e-10
30.4,1.8152022e-10
32,1.81467e-10
33.6,1.8135527e-10
35.2,1.8098054e-10
36.8,1.8025512e-10
38.4,1.792346e-10
40,1.7906768e-10
41.6,1.7944683e-10
43.2,1.8077126e-10
44.8,1.8342905e-10
46.4,1.8781932e-10
48,1.9445866e-10
49.6,2.054826e-10
51.2,2.282765e-10
52.8,3.2598082e-10
54.4,7.8684593e-10
56,8.4838739e-10
57.6,8.6561424e-10
59.2,8.6864687e-10
60.8,8.7076363e-10
62.4,8.7172778e-10
64,8.7281266e-10
65.6,8.7342012e-10
67.2,8.7361947e-10
68.8,8.736759e-10
70.4,8.7440151e-10
72,8.7476747e-10
73.6,8.7435842e-10
75.2,8.7437997e-10
76.8,8.743852e-10
78.4,8.748688e-10
80,8.7484319e-10

