Voltage,Capacitance
-80,2.2990971e-10
-79.99984,2.2990971e-10
-79.9996,2.2990971e-10
-79.99924,2.2990971e-10
-79.9987,2.299097e-10
-79.99789,2.2990972e-10
-79.996675,2.2990972e-10
-79.994852,2.2990971e-10
-79.992119,2.2990972e-10
-79.988018,2.2990974e-10
-79.981867,2.2990976e-10
-79.972641,2.2990982e-10
-79.958801,2.2990986e-10
-79.938042,2.2990996e-10
-79.906903,2.2991008e-10
-79.860194,2.2991026e-10
-79.790131,2.2991054e-10
-79.685036,2.2991096e-10
-79.527395,2.299116e-10
-79.290932,2.2991256e-10
-78.936238,2.2991402e-10
-78.404197,2.2991619e-10
-77.606135,2.2991946e-10
-76.409043,2.2992441e-10
-74.809043,2.2993107e-10
-73.209043,2.2993786e-10
-71.609043,2.2994472e-10
-70.009043,2.2995166e-10
-68.409043,2.299587e-10
-66.809043,2.2996583e-10
-65.209043,2.2997306e-10
-64,2.2997859e-10
-62.4,2.2998598e-10
-60.8,2.2999349e-10
-59.2,2.3000112e-10
-57.6,2.3000883e-10
-56,2.3001669e-10
-54.4,2.3002465e-10
-52.8,2.3003273e-10
-51.2,2.3004093e-10
-49.6,2.3004926e-10
-48,2.3005773e-10
-46.4,2.3006632e-10
-44.8,2.3007506e-10
-43.2,2.3008394e-10
-41.6,2.3009298e-10
-40,2.3010216e-10
-38.4,2.3011151e-10
-36.8,2.3012102e-10
-35.2,2.301307e-10
-33.6,2.3014056e-10
-32,2.301506e-10
-30.4,2.3016084e-10
-28.8,2.3017126e-10
-27.2,2.301819e-10
-25.6,2.3019273e-10
-24,2.302038e-10
-22.4,2.302151e-10
-20.8,2.3022665e-10
-19.2,2.3023844e-10
-17.6,2.3025049e-10
-16,2.3026282e-10
-14.4,2.3027544e-10
-12.8,2.3028837e-10
-11.2,2.3030158e-10
-9.6,2.3031514e-10
-8,2.3032903e-10
-6.4,2.3034329e-10
-4.8,2.3035794e-10
-3.2,2.3037298e-10
-1.6,2.3038844e-10
0,2.3040435e-10
1.6,2.3042073e-10
3.2,2.3043763e-10
4.8,2.3045506e-10
6.4,2.3047305e-10
8,2.3049164e-10
9.6,2.3051087e-10
11.2,2.305308e-10
12.8,2.3055146e-10
14.4,2.3057292e-10
16,2.3059523e-10
17.6,2.3061847e-10
19.2,2.3064271e-10
20.8,2.3066805e-10
22.4,2.3069456e-10
24,2.3072238e-10
25.6,2.3075163e-10
27.2,2.3078247e-10
28.8,2.3081503e-10
30.4,2.3084952e-10
32,2.3088617e-10
33.6,2.3092524e-10
35.2,2.3096702e-10
36.8,2.3101183e-10
38.4,2.3106005e-10
40,2.3111198e-10
41.6,2.311678e-10
43.2,2.3122713e-10
44.8,2.312878e-10
46.4,2.3134131e-10
48,2.313509e-10
49.6,2.3106072e-10
51.2,2.1780612e-10
52.8,2.9794201e-10
54.4,7.8697659e-10
56,8.507569e-10
57.6,8.6445535e-10
59.2,8.6916724e-10
60.8,8.7176007e-10
62.4,8.7190469e-10
64,8.7344698e-10
65.6,8.7330542e-10
67.2,8.7361823e-10
68.8,8.7389377e-10
70.4,8.7404643e-10
72,8.7424353e-10
73.6,8.7440081e-10
75.2,8.744813e-10
76.8,8.7455675e-10
78.4,8.7460935e-10
80,8.7467368e-10

