Voltage,Capacitance
-80,2.1369363e-10
-79.99984,2.1369364e-10
-79.9996,2.1369364e-10
-79.99924,2.1369364e-10
-79.9987,2.1369362e-10
-79.99789,2.1369366e-10
-79.996675,2.1369368e-10
-79.994852,2.1369367e-10
-79.992119,2.1369371e-10
-79.988018,2.1369376e-10
-79.981867,2.1369384e-10
-79.972641,2.1369398e-10
-79.958801,2.1369416e-10
-79.938042,2.1369442e-10
-79.906903,2.1369482e-10
-79.860194,2.1369538e-10
-79.790131,2.1369628e-10
-79.685036,2.1369762e-10
-79.527395,2.1369963e-10
-79.290932,2.1370266e-10
-78.936238,2.1370725e-10
-78.404197,2.1371413e-10
-77.606135,2.1372456e-10
-76.435645,2.1374005e-10
-74.835645,2.1376163e-10
-73.235645,2.1378376e-10
-71.635645,2.1380639e-10
-70.035645,2.1382957e-10
-68.435645,2.1385332e-10
-66.835645,2.1387767e-10
-65.235645,2.1390266e-10
-64,2.139224e-10
-62.4,2.1394855e-10
-60.8,2.1397545e-10
-59.2,2.1400314e-10
-57.6,2.1403157e-10
-56,2.140609e-10
-54.4,2.1409109e-10
-52.8,2.1412223e-10
-51.2,2.1415436e-10
-49.6,2.1418755e-10
-48,2.142218e-10
-46.4,2.1425731e-10
-44.8,2.142941e-10
-43.2,2.1433225e-10
-41.6,2.1437185e-10
-40,2.1441301e-10
-38.4,2.1445585e-10
-36.8,2.1450049e-10
-35.2,2.1454707e-10
-33.6,2.1459576e-10
-32,2.1464673e-10
-30.4,2.1470018e-10
-28.8,2.1475639e-10
-27.2,2.1481543e-10
-25.6,2.148778e-10
-24,2.149437e-10
-22.4,2.1501353e-10
-20.8,2.1508772e-10
-19.2,2.1516674e-10
-17.6,2.1525114e-10
-16,2.1534157e-10
-14.4,2.1543874e-10
-12.8,2.1554344e-10
-11.2,2.1565667e-10
-9.6,2.1577931e-10
-8,2.1591251e-10
-6.4,2.1605703e-10
-4.8,2.1621357e-10
-3.2,2.163816e-10
-1.6,2.1655861e-10
0,2.167375e-10
1.6,2.1690091e-10
3.2,2.1701329e-10
4.8,2.1700219e-10
6.4,2.167393e-10
8,2.1604367e-10
9.6,2.1478255e-10
11.2,2.1306363e-10
12.8,2.1117478e-10
14.4,2.0917641e-10
16,2.0691013e-10
17.6,2.0437536e-10
19.2,2.0169507e-10
20.8,1.9898378e-10
22.4,1.9636709e-10
24,1.9397788e-10
25.6,1.9194434e-10
27.2,1.9037085e-10
28.8,1.8933126e-10
30.4,1.8888049e-10
32,1.890688e-10
33.6,1.8995372e-10
35.2,1.916154e-10
36.8,1.9417084e-10
38.4,1.9778257e-10
40,2.0266659e-10
41.6,2.0910341e-10
43.2,2.1744935e-10
44.8,2.281413e-10
46.4,2.4168677e-10
48,2.5863254e-10
49.6,2.7950902e-10
51.2,3.0475559e-10
52.8,3.3463808e-10
54.4,3.6917218e-10
56,4.0805325e-10
57.6,4.5062668e-10
59.2,4.9584672e-10
60.8,5.4232963e-10
62.4,5.8845192e-10
64,6.3254398e-10
65.6,6.7313981e-10
67.2,7.0919233e-10
68.8,7.4018906e-10
70.4,7.6612677e-10
72,7.8737289e-10
73.6,8.045044e-10
75.2,8.1816753e-10
76.8,8.2898734e-10
78.4,8.3752562e-10
80,8.4425912e-10

