Voltage,Capacitance
-80,2.1309824e-10
-79.99984,2.1309824e-10
-79.9996,2.1309825e-10
-79.99924,2.1309825e-10
-79.9987,2.1309823e-10
-79.99789,2.1309827e-10
-79.996675,2.1309828e-10
-79.994852,2.1309827e-10
-79.992119,2.1309831e-10
-79.988018,2.1309836e-10
-79.981867,2.1309843e-10
-79.972641,2.1309857e-10
-79.958801,2.1309873e-10
-79.938042,2.1309898e-10
-79.906903,2.1309935e-10
-79.860194,2.1309987e-10
-79.790131,2.1310071e-10
-79.685036,2.1310196e-10
-79.527395,2.1310384e-10
-79.290932,2.1310667e-10
-78.936238,2.1311095e-10
-78.404197,2.1311737e-10
-77.606135,2.1312709e-10
-76.435645,2.1314154e-10
-74.835645,2.1316162e-10
-73.235645,2.1318221e-10
-71.635645,2.1320324e-10
-70.035645,2.1322475e-10
-68.435645,2.1324677e-10
-66.835645,2.1326932e-10
-65.235645,2.1329241e-10
-64,2.1331065e-10
-62.4,2.1333476e-10
-60.8,2.1335954e-10
-59.2,2.13385e-10
-57.6,2.134111e-10
-56,2.1343798e-10
-54.4,2.1346561e-10
-52.8,2.1349404e-10
-51.2,2.1352333e-10
-49.6,2.1355352e-10
-48,2.1358461e-10
-46.4,2.1361677e-10
-44.8,2.1365001e-10
-43.2,2.1368439e-10
-41.6,2.1372e-10
-40,2.137569e-10
-38.4,2.1379519e-10
-36.8,2.1383497e-10
-35.2,2.1387635e-10
-33.6,2.1391944e-10
-32,2.1396438e-10
-30.4,2.1401133e-10
-28.8,2.1406051e-10
-27.2,2.1411191e-10
-25.6,2.1416597e-10
-24,2.1422281e-10
-22.4,2.1428271e-10
-20.8,2.1434599e-10
-19.2,2.14413e-10
-17.6,2.1448413e-10
-16,2.1455985e-10
-14.4,2.1464069e-10
-12.8,2.1472724e-10
-11.2,2.1482031e-10
-9.6,2.1492059e-10
-8,2.1502918e-10
-6.4,2.1514704e-10
-4.8,2.1527556e-10
-3.2,2.1541598e-10
-1.6,2.1556973e-10
0,2.1573812e-10
1.6,2.1592114e-10
3.2,2.1611815e-10
4.8,2.1632361e-10
6.4,2.1652377e-10
8,2.1668681e-10
9.6,2.1674641e-10
11.2,2.1657859e-10
12.8,2.1599716e-10
14.4,2.1484086e-10
16,2.1317946e-10
17.6,2.1131319e-10
19.2,2.0935181e-10
20.8,2.0713787e-10
22.4,2.046409e-10
24,2.0197524e-10
25.6,1.9925296e-10
27.2,1.965964e-10
28.8,1.9413257e-10
30.4,1.9198266e-10
32,1.9024517e-10
33.6,1.8898807e-10
35.2,1.8826258e-10
36.8,1.8812216e-10
38.4,1.8864062e-10
40,1.8994735e-10
41.6,1.9228405e-10
43.2,1.9608786e-10
44.8,2.0213851e-10
46.4,2.1184013e-10
48,2.2773204e-10
49.6,2.5455745e-10
51.2,3.137575e-10
52.8,8.4353898e-10
54.4,8.6446941e-10
56,8.6950843e-10
57.6,8.7145737e-10
59.2,8.7275719e-10
60.8,8.7225722e-10
62.4,8.7336316e-10
64,8.7353036e-10
65.6,8.7386028e-10
67.2,8.7402415e-10
68.8,8.7421382e-10
70.4,8.7434428e-10
72,8.7445387e-10
73.6,8.7451717e-10
75.2,8.7452706e-10
76.8,8.7464619e-10
78.4,8.7469544e-10
80,8.7474625e-10

