Voltage,Capacitance
-80,2.1310988e-10
-79.99984,2.1310988e-10
-79.9996,2.1310989e-10
-79.99924,2.1310989e-10
-79.9987,2.1310987e-10
-79.99789,2.1310991e-10
-79.996675,2.1310992e-10
-79.994852,2.1310991e-10
-79.992119,2.1310995e-10
-79.988018,2.1311e-10
-79.981867,2.1311007e-10
-79.972641,2.1311021e-10
-79.958801,2.1311037e-10
-79.938042,2.1311062e-10
-79.906903,2.1311099e-10
-79.860194,2.1311151e-10
-79.790131,2.1311235e-10
-79.685036,2.131136e-10
-79.527395,2.1311548e-10
-79.290932,2.131183e-10
-78.936238,2.1312259e-10
-78.404197,2.1312901e-10
-77.606135,2.1313873e-10
-76.435645,2.1315317e-10
-74.835645,2.1317326e-10
-73.235645,2.1319384e-10
-71.635645,2.1321486e-10
-70.035645,2.1323637e-10
-68.435645,2.1325838e-10
-66.835645,2.1328092e-10
-65.235645,2.1330401e-10
-64,2.1332224e-10
-62.4,2.1334635e-10
-60.8,2.1337111e-10
-59.2,2.1339656e-10
-57.6,2.1342265e-10
-56,2.1344952e-10
-54.4,2.1347713e-10
-52.8,2.1350554e-10
-51.2,2.1353481e-10
-49.6,2.1356498e-10
-48,2.1359604e-10
-46.4,2.1362818e-10
-44.8,2.1366139e-10
-43.2,2.1369574e-10
-41.6,2.137313e-10
-40,2.1376816e-10
-38.4,2.1380641e-10
-36.8,2.1384614e-10
-35.2,2.1388746e-10
-33.6,2.1393049e-10
-32,2.1397537e-10
-30.4,2.1402223e-10
-28.8,2.1407133e-10
-27.2,2.1412263e-10
-25.6,2.1417659e-10
-24,2.1423329e-10
-22.4,2.1429306e-10
-20.8,2.1435618e-10
-19.2,2.1442301e-10
-17.6,2.1449393e-10
-16,2.1456942e-10
-14.4,2.1464999e-10
-12.8,2.1473621e-10
-11.2,2.1482891e-10
-9.6,2.1492874e-10
-8,2.1503682e-10
-6.4,2.1515405e-10
-4.8,2.1528181e-10
-3.2,2.1542129e-10
-1.6,2.155739e-10
0,2.1574085e-10
1.6,2.1592205e-10
3.2,2.1611674e-10
4.8,2.1631919e-10
6.4,2.1651539e-10
8,2.1667314e-10
9.6,2.1672565e-10
11.2,2.165487e-10
12.8,2.1595702e-10
14.4,2.1479272e-10
16,2.1312935e-10
17.6,2.1126477e-10
19.2,2.0930308e-10
20.8,2.07087e-10
22.4,2.0458895e-10
24,2.0192376e-10
25.6,1.9920373e-10
27.2,1.9655153e-10
28.8,1.9409443e-10
30.4,1.9195409e-10
32,1.9022976e-10
33.6,1.8899019e-10
35.2,1.8828739e-10
36.8,1.8817546e-10
38.4,1.887278e-10
40,1.9006813e-10
41.6,1.9241595e-10
43.2,1.9614396e-10
44.8,2.0187353e-10
46.4,2.1065865e-10
48,2.2429213e-10
49.6,2.4576827e-10
51.2,2.807172e-10
52.8,3.4644296e-10
54.4,5.1413369e-10
56,7.5846595e-10
57.6,8.3556954e-10
59.2,8.5046775e-10
60.8,8.6011065e-10
62.4,8.6661838e-10
64,8.6984191e-10
65.6,8.7003176e-10
67.2,8.7197151e-10
68.8,8.7322733e-10
70.4,8.7318942e-10
72,8.7350429e-10
73.6,8.7377934e-10
75.2,8.7398885e-10
76.8,8.7412215e-10
78.4,8.7426048e-10
80,8.743942e-10

