Voltage,Capacitance
-80,2.1322143e-10
-79.99984,2.1322144e-10
-79.9996,2.1322144e-10
-79.99924,2.1322144e-10
-79.9987,2.1322142e-10
-79.99789,2.1322146e-10
-79.996675,2.1322147e-10
-79.994852,2.1322147e-10
-79.992119,2.132215e-10
-79.988018,2.1322155e-10
-79.981867,2.1322162e-10
-79.972641,2.1322176e-10
-79.958801,2.1322193e-10
-79.938042,2.1322218e-10
-79.906903,2.1322256e-10
-79.860194,2.132231e-10
-79.790131,2.1322395e-10
-79.685036,2.1322522e-10
-79.527395,2.1322714e-10
-79.290932,2.1323002e-10
-78.936238,2.1323439e-10
-78.404197,2.1324094e-10
-77.606135,2.1325085e-10
-76.435645,2.1326558e-10
-74.835645,2.1328607e-10
-73.235645,2.1330708e-10
-71.635645,2.1332855e-10
-70.035645,2.1335052e-10
-68.435645,2.1337302e-10
-66.835645,2.1339606e-10
-65.235645,2.1341969e-10
-64,2.1343834e-10
-62.4,2.1346303e-10
-60.8,2.1348839e-10
-59.2,2.1351448e-10
-57.6,2.1354124e-10
-56,2.1356881e-10
-54.4,2.1359716e-10
-52.8,2.1362636e-10
-51.2,2.1365646e-10
-49.6,2.1368751e-10
-48,2.137195e-10
-46.4,2.1375263e-10
-44.8,2.1378689e-10
-43.2,2.1382235e-10
-41.6,2.1385911e-10
-40,2.1389725e-10
-38.4,2.1393686e-10
-36.8,2.1397806e-10
-35.2,2.1402095e-10
-33.6,2.1406569e-10
-32,2.141124e-10
-30.4,2.1416125e-10
-28.8,2.142125e-10
-27.2,2.1426616e-10
-25.6,2.1432268e-10
-24,2.143822e-10
-22.4,2.1444506e-10
-20.8,2.1451159e-10
-19.2,2.1458219e-10
-17.6,2.1465732e-10
-16,2.1473748e-10
-14.4,2.1482328e-10
-12.8,2.1491539e-10
-11.2,2.1501471e-10
-9.6,2.1512203e-10
-8,2.1523857e-10
-6.4,2.1536536e-10
-4.8,2.1550386e-10
-3.2,2.1565527e-10
-1.6,2.1582075e-10
0,2.1600085e-10
1.6,2.1619376e-10
3.2,2.1639491e-10
4.8,2.165904e-10
6.4,2.1674932e-10
8,2.1680694e-10
9.6,2.1664245e-10
11.2,2.1607256e-10
12.8,2.1493304e-10
14.4,2.1328127e-10
16,2.1141276e-10
17.6,2.0945162e-10
19.2,2.0724454e-10
20.8,2.0475151e-10
22.4,2.0208566e-10
24,1.993598e-10
25.6,1.9669608e-10
27.2,1.9422158e-10
28.8,1.9205851e-10
30.4,1.9030744e-10
32,1.8903834e-10
33.6,1.883034e-10
35.2,1.8815597e-10
36.8,1.8866784e-10
38.4,1.899584e-10
40,1.9224048e-10
41.6,1.9587618e-10
43.2,2.0146846e-10
44.8,2.1003932e-10
46.4,2.2332823e-10
48,2.4424082e-10
49.6,2.7815324e-10
51.2,3.4103047e-10
52.8,4.9962404e-10
54.4,7.491817e-10
56,8.3350267e-10
57.6,8.4930332e-10
59.2,8.5917839e-10
60.8,8.6644756e-10
62.4,8.6952194e-10
64,8.7054328e-10
65.6,8.7157267e-10
67.2,8.7270514e-10
68.8,8.7313438e-10
70.4,8.7343352e-10
72,8.7369364e-10
73.6,8.7394335e-10
75.2,8.7408843e-10
76.8,8.7423106e-10
78.4,8.7433816e-10
80,8.744407e-10

