Voltage,Capacitance
-80,2.1310247e-10
-79.99984,2.1310247e-10
-79.9996,2.1310247e-10
-79.99924,2.1310248e-10
-79.9987,2.1310245e-10
-79.99789,2.1310249e-10
-79.996675,2.1310251e-10
-79.994852,2.131025e-10
-79.992119,2.1310253e-10
-79.988018,2.1310258e-10
-79.981867,2.1310265e-10
-79.972641,2.1310279e-10
-79.958801,2.1310296e-10
-79.938042,2.131032e-10
-79.906903,2.1310357e-10
-79.860194,2.131041e-10
-79.790131,2.1310493e-10
-79.685036,2.1310618e-10
-79.527395,2.1310806e-10
-79.290932,2.1311089e-10
-78.936238,2.1311518e-10
-78.404197,2.131216e-10
-77.606135,2.1313132e-10
-76.435645,2.1314576e-10
-74.835645,2.1316585e-10
-73.235645,2.1318643e-10
-71.635645,2.1320746e-10
-70.035645,2.1322897e-10
-68.435645,2.1325098e-10
-66.835645,2.1327353e-10
-65.235645,2.1329662e-10
-64,2.1331486e-10
-62.4,2.1333897e-10
-60.8,2.1336374e-10
-59.2,2.1338919e-10
-57.6,2.1341529e-10
-56,2.1344217e-10
-54.4,2.1346979e-10
-52.8,2.1349821e-10
-51.2,2.135275e-10
-49.6,2.1355768e-10
-48,2.1358876e-10
-46.4,2.1362091e-10
-44.8,2.1365414e-10
-43.2,2.1368851e-10
-41.6,2.137241e-10
-40,2.1376098e-10
-38.4,2.1379926e-10
-36.8,2.1383902e-10
-35.2,2.1388037e-10
-33.6,2.1392344e-10
-32,2.1396836e-10
-30.4,2.1401528e-10
-28.8,2.1406443e-10
-27.2,2.1411579e-10
-25.6,2.1416981e-10
-24,2.142266e-10
-22.4,2.1428645e-10
-20.8,2.1434967e-10
-19.2,2.1441661e-10
-17.6,2.1448767e-10
-16,2.145633e-10
-14.4,2.1464404e-10
-12.8,2.1473047e-10
-11.2,2.148234e-10
-9.6,2.1492351e-10
-8,2.1503191e-10
-6.4,2.1514953e-10
-4.8,2.1527777e-10
-3.2,2.1541783e-10
-1.6,2.1557115e-10
0,2.1573899e-10
1.6,2.1592131e-10
3.2,2.1611742e-10
4.8,2.1632169e-10
6.4,2.1652026e-10
8,2.166811e-10
9.6,2.1673765e-10
11.2,2.1656573e-10
12.8,2.1597943e-10
14.4,2.1481903e-10
16,2.1315627e-10
17.6,2.1129053e-10
19.2,2.0932876e-10
20.8,2.0711347e-10
22.4,2.0461569e-10
24,2.0195002e-10
25.6,1.9922859e-10
27.2,1.965739e-10
28.8,1.9411304e-10
30.4,1.9196735e-10
32,1.9023557e-10
33.6,1.8898591e-10
35.2,1.882699e-10
36.8,1.8814129e-10
38.4,1.8867384e-10
40,1.8999492e-10
41.6,1.923374e-10
43.2,1.9611131e-10
44.8,2.0202808e-10
46.4,2.1133935e-10
48,2.2625424e-10
49.6,2.5070962e-10
51.2,2.9490688e-10
52.8,4.6182559e-10
54.4,8.0939543e-10
56,8.5519731e-10
57.6,8.6670608e-10
59.2,8.6933115e-10
60.8,8.702633e-10
62.4,8.7225738e-10
64,8.7365434e-10
65.6,8.7319271e-10
67.2,8.7358335e-10
68.8,8.7381966e-10
70.4,8.7404901e-10
72,8.7421517e-10
73.6,8.7423411e-10
75.2,8.7443214e-10
76.8,8.7452607e-10
78.4,8.745536e-10
80,8.7463755e-10

