Voltage,Capacitance
-80,2.3076284e-10
-79.99984,2.3076284e-10
-79.9996,2.3076284e-10
-79.99924,2.3076284e-10
-79.9987,2.3076283e-10
-79.99789,2.3076285e-10
-79.996675,2.3076286e-10
-79.994852,2.3076286e-10
-79.992119,2.3076287e-10
-79.988018,2.307629e-10
-79.981867,2.3076294e-10
-79.972641,2.3076302e-10
-79.958801,2.307631e-10
-79.938042,2.3076325e-10
-79.906903,2.3076346e-10
-79.860194,2.3076375e-10
-79.790131,2.3076422e-10
-79.685036,2.3076492e-10
-79.527395,2.3076597e-10
-79.290932,2.3076754e-10
-78.936238,2.3076994e-10
-78.404197,2.3077352e-10
-77.606135,2.3077894e-10
-76.435645,2.3078698e-10
-74.835645,2.3079815e-10
-73.235645,2.3080957e-10
-71.635645,2.3082121e-10
-70.035645,2.3083309e-10
-68.435645,2.3084522e-10
-66.835645,2.3085761e-10
-65.235645,2.3087027e-10
-64,2.3088024e-10
-62.4,2.308934e-10
-60.8,2.3090688e-10
-59.2,2.309207e-10
-57.6,2.3093482e-10
-56,2.3094932e-10
-54.4,2.3096417e-10
-52.8,2.309794e-10
-51.2,2.3099504e-10
-49.6,2.310111e-10
-48,2.3102762e-10
-46.4,2.3104459e-10
-44.8,2.3106206e-10
-43.2,2.3108005e-10
-41.6,2.3109859e-10
-40,2.3111772e-10
-38.4,2.3113746e-10
-36.8,2.3115785e-10
-35.2,2.3117894e-10
-33.6,2.3120076e-10
-32,2.3122337e-10
-30.4,2.3124681e-10
-28.8,2.3127114e-10
-27.2,2.3129643e-10
-25.6,2.3132271e-10
-24,2.3135009e-10
-22.4,2.3137864e-10
-20.8,2.3140842e-10
-19.2,2.3143952e-10
-17.6,2.3147203e-10
-16,2.3150604e-10
-14.4,2.3154162e-10
-12.8,2.3157885e-10
-11.2,2.3161773e-10
-9.6,2.3165827e-10
-8,2.3170036e-10
-6.4,2.3174374e-10
-4.8,2.3178783e-10
-3.2,2.3183161e-10
-1.6,2.3187313e-10
0,2.3190889e-10
1.6,2.3193243e-10
3.2,2.3193171e-10
4.8,2.3188376e-10
6.4,2.3174452e-10
8,2.3143039e-10
9.6,2.307936e-10
11.2,2.2962002e-10
12.8,2.2773634e-10
14.4,2.2524937e-10
16,2.2252322e-10
17.6,2.1968555e-10
19.2,2.1657369e-10
20.8,2.1318798e-10
22.4,2.0968148e-10
24,2.0619744e-10
25.6,2.0288212e-10
27.2,1.9987515e-10
28.8,1.973014e-10
30.4,1.9525669e-10
32,1.9380282e-10
33.6,1.9298599e-10
35.2,1.9285802e-10
36.8,1.9349344e-10
38.4,1.9502041e-10
40,1.9767043e-10
41.6,2.0184326e-10
43.2,2.0821821e-10
44.8,2.1797247e-10
46.4,2.3315496e-10
48,2.5735179e-10
49.6,2.9949652e-10
51.2,4.4512253e-10
52.8,8.0478078e-10
54.4,8.5438284e-10
56,8.6623778e-10
57.6,8.6889599e-10
59.2,8.7235788e-10
60.8,8.7219387e-10
62.4,8.7274573e-10
64,8.7331394e-10
65.6,8.7367458e-10
67.2,8.7390193e-10
68.8,8.7410615e-10
70.4,8.7425596e-10
72,8.7439589e-10
73.6,8.7444224e-10
75.2,8.7454223e-10
76.8,8.7462313e-10
78.4,8.7471543e-10
80,8.7475881e-10

