Voltage,Capacitance
-80,2.3017218e-10
-79.99984,2.3017218e-10
-79.9996,2.3017218e-10
-79.99924,2.3017218e-10
-79.9987,2.3017217e-10
-79.99789,2.3017219e-10
-79.996675,2.301722e-10
-79.994852,2.3017219e-10
-79.992119,2.301722e-10
-79.988018,2.3017222e-10
-79.981867,2.3017225e-10
-79.972641,2.3017231e-10
-79.958801,2.3017236e-10
-79.938042,2.3017248e-10
-79.906903,2.3017263e-10
-79.860194,2.3017285e-10
-79.790131,2.3017319e-10
-79.685036,2.301737e-10
-79.527395,2.3017447e-10
-79.290932,2.3017563e-10
-78.936238,2.3017738e-10
-78.404197,2.3018e-10
-77.606135,2.3018396e-10
-76.409043,2.3018994e-10
-74.809043,2.3019803e-10
-73.209043,2.3020628e-10
-71.609043,2.3021463e-10
-70.009043,2.3022312e-10
-68.409043,2.3023174e-10
-66.809043,2.302405e-10
-65.209043,2.302494e-10
-64,2.3025622e-10
-62.4,2.3026537e-10
-60.8,2.3027469e-10
-59.2,2.3028419e-10
-57.6,2.3029383e-10
-56,2.3030367e-10
-54.4,2.3031367e-10
-52.8,2.3032386e-10
-51.2,2.3033424e-10
-49.6,2.3034482e-10
-48,2.3035561e-10
-46.4,2.3036661e-10
-44.8,2.3037784e-10
-43.2,2.3038929e-10
-41.6,2.3040099e-10
-40,2.3041295e-10
-38.4,2.3042516e-10
-36.8,2.3043765e-10
-35.2,2.3045043e-10
-33.6,2.304635e-10
-32,2.3047689e-10
-30.4,2.3049061e-10
-28.8,2.3050467e-10
-27.2,2.3051909e-10
-25.6,2.3053387e-10
-24,2.3054907e-10
-22.4,2.305647e-10
-20.8,2.3058076e-10
-19.2,2.3059729e-10
-17.6,2.3061432e-10
-16,2.3063187e-10
-14.4,2.3064998e-10
-12.8,2.306687e-10
-11.2,2.3068801e-10
-9.6,2.3070801e-10
-8,2.3072871e-10
-6.4,2.307502e-10
-4.8,2.307725e-10
-3.2,2.3079568e-10
-1.6,2.3081981e-10
0,2.3084496e-10
1.6,2.3087121e-10
3.2,2.308987e-10
4.8,2.3092748e-10
6.4,2.3095769e-10
8,2.3098945e-10
9.6,2.3102292e-10
11.2,2.3105826e-10
12.8,2.3109566e-10
14.4,2.3113529e-10
16,2.3117738e-10
17.6,2.3122211e-10
19.2,2.3126964e-10
20.8,2.3132001e-10
22.4,2.3137295e-10
24,2.3142752e-10
25.6,2.3148116e-10
27.2,2.3152721e-10
28.8,2.3154747e-10
30.4,2.3148721e-10
32,2.3115483e-10
33.6,2.2981978e-10
35.2,2.2574537e-10
36.8,2.1949234e-10
38.4,2.1169669e-10
40,2.0331317e-10
41.6,1.9646858e-10
43.2,1.9272736e-10
44.8,1.9278893e-10
46.4,1.9783688e-10
48,2.1111296e-10
49.6,2.419941e-10
51.2,3.8028613e-10
52.8,8.0425528e-10
54.4,8.5458602e-10
56,8.657153e-10
57.6,8.7037244e-10
59.2,8.7098084e-10
60.8,8.7337275e-10
62.4,8.7391847e-10
64,8.7333753e-10
65.6,8.7366674e-10
67.2,8.7390721e-10
68.8,8.7406441e-10
70.4,8.7423752e-10
72,8.7436102e-10
73.6,8.7443606e-10
75.2,8.7453297e-10
76.8,8.7460851e-10
78.4,8.7470911e-10
80,8.7477581e-10

