Voltage,Capacitance
-80,2.3015274e-10
-79.99984,2.3015274e-10
-79.9996,2.3015274e-10
-79.99924,2.3015275e-10
-79.9987,2.3015273e-10
-79.99789,2.3015275e-10
-79.996675,2.3015276e-10
-79.994852,2.3015275e-10
-79.992119,2.3015276e-10
-79.988018,2.3015278e-10
-79.981867,2.3015281e-10
-79.972641,2.3015287e-10
-79.958801,2.3015292e-10
-79.938042,2.3015304e-10
-79.906903,2.3015319e-10
-79.860194,2.301534e-10
-79.790131,2.3015373e-10
-79.685036,2.3015424e-10
-79.527395,2.30155e-10
-79.290932,2.3015614e-10
-78.936238,2.3015787e-10
-78.404197,2.3016046e-10
-77.606135,2.3016436e-10
-76.409043,2.3017026e-10
-74.809043,2.3017824e-10
-73.209043,2.3018637e-10
-71.609043,2.3019461e-10
-70.009043,2.3020297e-10
-68.409043,2.3021146e-10
-66.809043,2.3022009e-10
-65.209043,2.3022886e-10
-64,2.3023558e-10
-62.4,2.3024459e-10
-60.8,2.3025376e-10
-59.2,2.3026311e-10
-57.6,2.3027258e-10
-56,2.3028226e-10
-54.4,2.302921e-10
-52.8,2.3030211e-10
-51.2,2.3031231e-10
-49.6,2.303227e-10
-48,2.303333e-10
-46.4,2.303441e-10
-44.8,2.3035511e-10
-43.2,2.3036635e-10
-41.6,2.3037782e-10
-40,2.3038954e-10
-38.4,2.3040151e-10
-36.8,2.3041374e-10
-35.2,2.3042625e-10
-33.6,2.3043904e-10
-32,2.3045214e-10
-30.4,2.3046554e-10
-28.8,2.3047928e-10
-27.2,2.3049336e-10
-25.6,2.3050779e-10
-24,2.3052261e-10
-22.4,2.3053784e-10
-20.8,2.3055349e-10
-19.2,2.3056958e-10
-17.6,2.3058614e-10
-16,2.306032e-10
-14.4,2.3062078e-10
-12.8,2.3063895e-10
-11.2,2.3065767e-10
-9.6,2.3067703e-10
-8,2.3069706e-10
-6.4,2.3071783e-10
-4.8,2.3073936e-10
-3.2,2.3076171e-10
-1.6,2.3078494e-10
0,2.3080912e-10
1.6,2.3083434e-10
3.2,2.3086069e-10
4.8,2.3088824e-10
6.4,2.309171e-10
8,2.309474e-10
9.6,2.3097926e-10
11.2,2.3101284e-10
12.8,2.310483e-10
14.4,2.3108582e-10
16,2.311256e-10
17.6,2.3116785e-10
19.2,2.3121276e-10
20.8,2.3126047e-10
22.4,2.3131102e-10
24,2.3136411e-10
25.6,2.3141876e-10
27.2,2.3147228e-10
28.8,2.3151757e-10
30.4,2.315354e-10
32,2.3146723e-10
33.6,2.3110642e-10
35.2,2.2966769e-10
36.8,2.2540964e-10
38.4,2.1908993e-10
40,2.1120799e-10
41.6,2.0285828e-10
43.2,1.9616126e-10
44.8,1.9262424e-10
46.4,1.9292687e-10
48,1.9833576e-10
49.6,2.1225643e-10
51.2,2.4486926e-10
52.8,4.0469511e-10
54.4,8.0923348e-10
56,8.5613145e-10
57.6,8.6596811e-10
59.2,8.6932536e-10
60.8,8.7184392e-10
62.4,8.7294418e-10
64,8.726018e-10
65.6,8.7346565e-10
67.2,8.7374717e-10
68.8,8.7387883e-10
70.4,8.7407502e-10
72,8.7428836e-10
73.6,8.7441463e-10
75.2,8.7444937e-10
76.8,8.7455086e-10
78.4,8.746347e-10
80,8.7467018e-10

