Voltage,Capacitance
-80,2.2992579e-10
-79.99984,2.2992579e-10
-79.9996,2.2992579e-10
-79.99924,2.2992579e-10
-79.9987,2.2992578e-10
-79.99789,2.299258e-10
-79.996675,2.299258e-10
-79.994852,2.2992579e-10
-79.992119,2.299258e-10
-79.988018,2.2992582e-10
-79.981867,2.2992584e-10
-79.972641,2.299259e-10
-79.958801,2.2992594e-10
-79.938042,2.2992604e-10
-79.906903,2.2992617e-10
-79.860194,2.2992634e-10
-79.790131,2.2992663e-10
-79.685036,2.2992706e-10
-79.527395,2.2992771e-10
-79.290932,2.2992868e-10
-78.936238,2.2993016e-10
-78.404197,2.2993236e-10
-77.606135,2.2993567e-10
-76.409043,2.2994069e-10
-74.809043,2.2994745e-10
-73.209043,2.2995433e-10
-71.609043,2.2996128e-10
-70.009043,2.2996833e-10
-68.409043,2.2997547e-10
-66.809043,2.2998271e-10
-65.209043,2.2999005e-10
-64,2.2999566e-10
-62.4,2.3000317e-10
-60.8,2.3001079e-10
-59.2,2.3001855e-10
-57.6,2.3002638e-10
-56,2.3003437e-10
-54.4,2.3004246e-10
-52.8,2.3005068e-10
-51.2,2.3005902e-10
-49.6,2.3006749e-10
-48,2.3007611e-10
-46.4,2.3008486e-10
-44.8,2.3009376e-10
-43.2,2.301028e-10
-41.6,2.30112e-10
-40,2.3012136e-10
-38.4,2.3013089e-10
-36.8,2.3014059e-10
-35.2,2.3015047e-10
-33.6,2.3016053e-10
-32,2.3017078e-10
-30.4,2.3018123e-10
-28.8,2.3019188e-10
-27.2,2.3020276e-10
-25.6,2.3021383e-10
-24,2.3022515e-10
-22.4,2.3023672e-10
-20.8,2.3024854e-10
-19.2,2.3026062e-10
-17.6,2.3027298e-10
-16,2.3028562e-10
-14.4,2.3029856e-10
-12.8,2.3031184e-10
-11.2,2.3032541e-10
-9.6,2.3033935e-10
-8,2.3035363e-10
-6.4,2.3036832e-10
-4.8,2.3038341e-10
-3.2,2.3039891e-10
-1.6,2.3041487e-10
0,2.304313e-10
1.6,2.3044823e-10
3.2,2.3046572e-10
4.8,2.3048377e-10
6.4,2.3050242e-10
8,2.3052173e-10
9.6,2.3054172e-10
11.2,2.3056247e-10
12.8,2.3058401e-10
14.4,2.306064e-10
16,2.3062974e-10
17.6,2.3065409e-10
19.2,2.3067953e-10
20.8,2.3070617e-10
22.4,2.3073413e-10
24,2.3076353e-10
25.6,2.3079451e-10
27.2,2.3082728e-10
28.8,2.3086198e-10
30.4,2.3089886e-10
32,2.3093819e-10
33.6,2.3098026e-10
35.2,2.310254e-10
36.8,2.3107398e-10
38.4,2.3112631e-10
40,2.3118252e-10
41.6,2.3124213e-10
43.2,2.3130263e-10
44.8,2.3135421e-10
46.4,2.3135314e-10
48,2.3096495e-10
49.6,1.9732346e-10
51.2,3.3942618e-10
52.8,8.0444273e-10
54.4,8.5401902e-10
56,8.6602343e-10
57.6,8.70236e-10
59.2,8.7070684e-10
60.8,8.7333134e-10
62.4,8.7325871e-10
64,8.7340349e-10
65.6,8.7365344e-10
67.2,8.7393392e-10
68.8,8.7409045e-10
70.4,8.7428413e-10
72,8.7437974e-10
73.6,8.7446611e-10
75.2,8.7454252e-10
76.8,8.7463604e-10
78.4,8.7471835e-10
80,8.747741e-10

