Voltage,Capacitance
-80,2.1309802e-10
-79.99984,2.1309802e-10
-79.9996,2.1309803e-10
-79.99924,2.1309803e-10
-79.9987,2.1309801e-10
-79.99789,2.1309805e-10
-79.996675,2.1309806e-10
-79.994852,2.1309805e-10
-79.992119,2.1309809e-10
-79.988018,2.1309813e-10
-79.981867,2.1309821e-10
-79.972641,2.1309835e-10
-79.958801,2.1309851e-10
-79.938042,2.1309876e-10
-79.906903,2.1309913e-10
-79.860194,2.1309965e-10
-79.790131,2.1310049e-10
-79.685036,2.1310174e-10
-79.527395,2.1310362e-10
-79.290932,2.1310644e-10
-78.936238,2.1311073e-10
-78.404197,2.1311715e-10
-77.606135,2.1312687e-10
-76.435645,2.1314132e-10
-74.835645,2.131614e-10
-73.235645,2.1318199e-10
-71.635645,2.1320302e-10
-70.035645,2.1322453e-10
-68.435645,2.1324655e-10
-66.835645,2.1326909e-10
-65.235645,2.1329219e-10
-64,2.1331043e-10
-62.4,2.1333454e-10
-60.8,2.1335932e-10
-59.2,2.1338478e-10
-57.6,2.1341088e-10
-56,2.1343776e-10
-54.4,2.1346539e-10
-52.8,2.1349382e-10
-51.2,2.1352311e-10
-49.6,2.1355331e-10
-48,2.1358439e-10
-46.4,2.1361656e-10
-44.8,2.1364979e-10
-43.2,2.1368418e-10
-41.6,2.1371978e-10
-40,2.1375668e-10
-38.4,2.1379498e-10
-36.8,2.1383476e-10
-35.2,2.1387613e-10
-33.6,2.1391923e-10
-32,2.1396418e-10
-30.4,2.1401112e-10
-28.8,2.140603e-10
-27.2,2.1411171e-10
-25.6,2.1416577e-10
-24,2.1422261e-10
-22.4,2.1428251e-10
-20.8,2.143458e-10
-19.2,2.1441281e-10
-17.6,2.1448394e-10
-16,2.1455967e-10
-14.4,2.1464052e-10
-12.8,2.1472707e-10
-11.2,2.1482015e-10
-9.6,2.1492043e-10
-8,2.1502904e-10
-6.4,2.1514691e-10
-4.8,2.1527545e-10
-3.2,2.1541589e-10
-1.6,2.1556966e-10
0,2.1573808e-10
1.6,2.1592113e-10
3.2,2.1611819e-10
4.8,2.1632372e-10
6.4,2.1652397e-10
8,2.1668714e-10
9.6,2.1674691e-10
11.2,2.1657934e-10
12.8,2.1599821e-10
14.4,2.1484217e-10
16,2.1318087e-10
17.6,2.1131457e-10
19.2,2.0935323e-10
20.8,2.0713937e-10
22.4,2.0464246e-10
24,2.0197681e-10
25.6,1.9925448e-10
27.2,1.9659782e-10
28.8,1.9413381e-10
30.4,1.9198365e-10
32,1.9024583e-10
33.6,1.8898829e-10
35.2,1.8826227e-10
36.8,1.8812117e-10
38.4,1.8863882e-10
40,1.8994471e-10
41.6,1.9228104e-10
43.2,1.9608652e-10
44.8,2.0214492e-10
46.4,2.1186941e-10
48,2.2781911e-10
49.6,2.5478605e-10
51.2,3.1587974e-10
52.8,8.4745731e-10
54.4,8.6531763e-10
56,8.6938265e-10
57.6,8.7055485e-10
59.2,8.7138811e-10
60.8,8.7295625e-10
62.4,8.7339917e-10
64,8.7365874e-10
65.6,8.738932e-10
67.2,8.7411868e-10
68.8,8.7424492e-10
70.4,8.7429858e-10
72,8.7438996e-10
73.6,8.7457055e-10
75.2,8.7460297e-10
76.8,8.7467186e-10
78.4,8.7470016e-10
80,8.7473691e-10

