Voltage,Capacitance
-80,2.1321023e-10
-79.99984,2.1321023e-10
-79.9996,2.1321023e-10
-79.99924,2.1321024e-10
-79.9987,2.1321022e-10
-79.99789,2.1321025e-10
-79.996675,2.1321027e-10
-79.994852,2.1321026e-10
-79.992119,2.132103e-10
-79.988018,2.1321035e-10
-79.981867,2.1321042e-10
-79.972641,2.1321056e-10
-79.958801,2.1321073e-10
-79.938042,2.1321098e-10
-79.906903,2.1321136e-10
-79.860194,2.1321189e-10
-79.790131,2.1321274e-10
-79.685036,2.1321402e-10
-79.527395,2.1321593e-10
-79.290932,2.1321882e-10
-78.936238,2.1322319e-10
-78.404197,2.1322974e-10
-77.606135,2.1323965e-10
-76.435645,2.1325438e-10
-74.835645,2.1327488e-10
-73.235645,2.1329589e-10
-71.635645,2.1331736e-10
-70.035645,2.1333934e-10
-68.435645,2.1336184e-10
-66.835645,2.133849e-10
-65.235645,2.1340853e-10
-64,2.1342719e-10
-62.4,2.1345189e-10
-60.8,2.1347727e-10
-59.2,2.1350337e-10
-57.6,2.1353014e-10
-56,2.1355773e-10
-54.4,2.135861e-10
-52.8,2.1361532e-10
-51.2,2.1364545e-10
-49.6,2.1367652e-10
-48,2.1370854e-10
-46.4,2.1374169e-10
-44.8,2.1377599e-10
-43.2,2.1381149e-10
-41.6,2.1384829e-10
-40,2.1388648e-10
-38.4,2.1392614e-10
-36.8,2.1396739e-10
-35.2,2.1401035e-10
-33.6,2.1405515e-10
-32,2.1410195e-10
-30.4,2.1415089e-10
-28.8,2.1420224e-10
-27.2,2.1425601e-10
-25.6,2.1431266e-10
-24,2.1437232e-10
-22.4,2.1443534e-10
-20.8,2.1450205e-10
-19.2,2.1457287e-10
-17.6,2.1464823e-10
-16,2.1472867e-10
-14.4,2.148148e-10
-12.8,2.1490729e-10
-11.2,2.1500706e-10
-9.6,2.1511491e-10
-8,2.1523209e-10
-6.4,2.1535965e-10
-4.8,2.154991e-10
-3.2,2.1565167e-10
-1.6,2.1581861e-10
0,2.1600055e-10
1.6,2.1619581e-10
3.2,2.1640001e-10
4.8,2.1659951e-10
6.4,2.167638e-10
8,2.168286e-10
9.6,2.166734e-10
11.2,2.161141e-10
12.8,2.1498309e-10
14.4,2.1333369e-10
16,2.1146344e-10
17.6,2.0950239e-10
19.2,2.0729746e-10
20.8,2.0480558e-10
22.4,2.0213928e-10
24,1.9941114e-10
25.6,1.9674299e-10
27.2,1.9426167e-10
28.8,1.9208888e-10
30.4,1.9032451e-10
32,1.8903769e-10
33.6,1.8827983e-10
35.2,1.8810357e-10
36.8,1.8858101e-10
38.4,1.8983681e-10
40,1.9210503e-10
41.6,1.9581018e-10
43.2,2.0171001e-10
44.8,2.1116985e-10
46.4,2.266628e-10
48,2.5278202e-10
49.6,3.0865257e-10
51.2,8.4487507e-10
52.8,8.6520661e-10
54.4,8.6852657e-10
56,8.715113e-10
57.6,8.7155422e-10
59.2,8.7292563e-10
60.8,8.7329454e-10
62.4,8.7359391e-10
64,8.7394827e-10
65.6,8.7398296e-10
67.2,8.7419548e-10
68.8,8.7430669e-10
70.4,8.7440181e-10
72,8.7449675e-10
73.6,8.745408e-10
75.2,8.7461831e-10
76.8,8.7461634e-10
78.4,8.7479533e-10
80,8.7476369e-10

